persons,prediction,reference,pred.score
person1,good,bad,0.0885431715287268
person2,bad,bad,0.684863070724532
person3,bad,bad,0.721046450547874
person4,bad,good,0.660316071007401
person5,bad,bad,0.905134253203869
person6,bad,bad,0.841867836425081
person7,good,good,0.396519389003515
person8,good,good,0.317679058760405
person9,bad,good,0.510395984398201
person10,bad,good,0.776803408749402
person11,bad,good,0.961490698391572
person12,good,bad,0.376946086296812
person13,good,good,0.106490929378197
person14,good,bad,0.306649333564565
person15,bad,good,0.785273118177429
person16,good,good,0.19893313315697
person17,bad,bad,0.681856071809307
person18,bad,bad,0.553935491945595
person19,bad,good,0.830488300183788
person20,bad,good,0.91600214317441
person21,bad,good,0.537402551388368
person22,good,good,0.264195964904502
person23,bad,good,0.671651183627546
person24,bad,good,0.971956592751667
person25,good,good,0.206522283144295
person26,bad,bad,0.89717737166211
person27,good,good,0.20539969438687
person28,good,bad,0.426990252221003
person29,good,bad,0.310745787108317
person30,good,good,0.105902871582657
person31,good,good,0.438681880943477
person32,bad,bad,0.539858566131443
person33,bad,good,0.507592748850584
person34,bad,good,0.738366770558059
person35,bad,good,0.630654342472553
person36,good,good,0.479457515757531
person37,good,good,0.32073658448644
person38,good,bad,0.2364387572743
person39,bad,bad,0.690185795305297
