persons,prediction,reference,pred.score
person1,good,bad,0.446636977838352
person2,bad,bad,0.90906493156217
person3,good,bad,0.0380003883037716
person4,bad,good,0.608569739386439
person5,bad,bad,0.756175950635225
person6,good,bad,0.434028564253822
person7,good,good,0.0427514528855681
person8,good,good,0.247298600617796
person9,bad,good,0.994849343085662
person10,bad,good,0.507539835758507
person11,bad,good,0.759782674722373
person12,bad,bad,0.518776398384944
person13,good,good,0.272756960941479
person14,good,bad,0.128228586865589
person15,bad,good,0.583557445555925
person16,good,good,0.0471985035110265
person17,good,bad,0.48550435854122
person18,bad,bad,0.581087777391076
person19,good,good,0.233614269178361
person20,good,good,0.0442196365911514
person21,good,good,0.357128921663389
person22,bad,good,0.678938108496368
person23,bad,good,0.843089623609558
person24,bad,good,0.503837033174932
person25,bad,good,0.613750907825306
person26,bad,bad,0.505625624442473
person27,good,good,0.254909426672384
person28,bad,bad,0.590657835127786
person29,bad,bad,0.934637438273057
person30,good,good,0.046042999252677
person31,good,good,0.39127214346081
person32,good,bad,0.158030881313607
person33,good,good,0.110263518290594
person34,good,good,0.251983676571399
person35,bad,good,0.720100308069959
person36,bad,good,0.771603499772027
person37,good,good,0.153926017927006
person38,bad,bad,0.941526391310617
person39,good,bad,0.32806378044188
